generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,59.7160,63.2100,63.2100,0.094862,132
2,59.6053,63.0900,63.2100,0.091470,265
3,60.0353,63.0700,63.2100,0.089304,396
4,60.5473,64.2800,64.2800,0.087756,524
5,59.5393,62.5200,64.2800,0.086835,655
6,59.2013,63.0400,64.2800,0.086829,780
7,59.6600,63.6500,64.2800,0.086268,905
8,59.9120,63.7500,64.2800,0.085650,1037
9,60.4893,63.2500,64.2800,0.084917,1163
10,60.1187,63.1200,64.2800,0.083848,1290
11,60.1120,62.8900,64.2800,0.082129,1421
12,60.6347,62.8100,64.2800,0.080816,1551
13,59.8740,63.8400,64.2800,0.078829,1683
14,60.3313,63.7300,64.2800,0.076994,1810
